crime_id,date,time,xcoord,ycoord,hour,day
903403127,05/03/2023,23:00:00,504813,183914,23,Sun
902416627,11/08/2022,19:20:00,504988,181880,19,Thu
902428587,19/12/2022,10:22:00,505152,182297,10,Mon
902427474,09/11/2022,17:00:00,505253,182511,17,Wed
902415526,29/07/2022,14:00:00,505320,188905,14,Fri
903400651,19/01/2023,16:00:00,505341,184186,16,Thu
903402294,01/03/2023,16:02:00,505342,182995,16,Wed
903402762,25/01/2023,16:30:00,505355,184224,16,Wed
902419495,25/07/2022,23:30:00,505378,182826,23,Mon
902416165,20/07/2022,10:00:00,505384,184262,10,Wed
902421036,29/11/2022,17:10:00,505384,184262,17,Tue
902418454,03/07/2022,17:55:00,505384,184262,17,Sun
902429175,22/11/2022,12:45:00,505399,184247,12,Tue
903401205,28/02/2023,16:05:00,505419,183766,16,Tue
902415728,23/08/2022,18:30:00,505420,184360,18,Tue
903407854,25/02/2023,15:40:00,505422,184177,15,Sat
902423954,08/11/2022,16:30:00,505449,184173,16,Tue
903401520,04/01/2023,16:15:00,505453,184034,16,Wed
902429926,28/11/2022,13:00:00,505459,182119,13,Mon
903406384,01/03/2023,13:30:00,505463,184272,13,Wed
902421396,06/12/2022,19:30:00,505470,181505,19,Tue
903403572,03/02/2023,16:00:00,505482,184167,16,Fri
903408776,13/03/2023,23:55:00,505522,184342,23,Mon
903413721,01/01/2023,00:01:00,505525,181212,0,Sun
903400760,09/01/2023,20:20:00,505548,184150,20,Mon
902415409,02/09/2022,01:00:00,505594,184234,1,Fri
902421601,26/09/2022,19:26:00,505617,184826,19,Mon
902428136,29/11/2022,17:30:00,505629,184361,17,Tue
902421612,10/10/2022,16:00:00,505643,184372,16,Mon
902428695,25/11/2022,17:30:00,505672,184284,17,Fri
902423514,01/11/2022,17:25:00,505689,178847,17,Tue
902417968,25/08/2022,15:40:00,505717,184465,15,Thu
903402061,21/01/2023,12:40:00,505730,184035,12,Sat
902428194,12/11/2022,13:40:00,505734,183968,13,Sat
903401274,27/02/2023,15:00:00,505755,177433,15,Mon
902419009,02/09/2022,02:10:00,505786,177600,2,Fri
903403073,14/02/2023,21:00:00,505789,180839,21,Tue
903409282,05/02/2023,14:26:00,505820,190657,14,Sun
903401605,04/03/2023,00:30:00,505876,178458,0,Sat
902416818,22/08/2022,20:30:00,505885,181895,20,Mon
902428446,30/11/2022,19:30:00,505944,180159,19,Wed
902420096,06/12/2022,21:17:00,505957,180123,21,Tue
903409925,06/03/2023,12:10:00,505963,180777,12,Mon
902428313,21/10/2022,20:30:00,505968,180784,20,Fri
903405852,02/02/2023,14:49:00,505979,190633,14,Thu
903401271,23/01/2023,11:22:00,506023,179934,11,Mon
522424385,26/09/2022,02:48:00,506024,182654,2,Mon
902422061,29/09/2022,14:55:00,506024,182654,14,Thu
333401346,27/03/2023,15:00:00,506046,180175,15,Mon
903407900,02/01/2023,12:28:00,506094,180127,12,Mon
903405491,25/01/2023,21:50:00,506116,180397,21,Wed
902429851,03/10/2022,16:00:00,506122,179307,16,Mon
902418708,21/08/2022,19:08:00,506220,180652,19,Sun
902420124,03/11/2022,23:00:00,506249,185625,23,Thu
902425163,27/10/2022,06:15:00,506277,180883,6,Thu
902425344,07/11/2022,04:16:00,506297,179716,4,Mon
